idTransaction;idBien;dateMutation;valeurFonciere
221;221;03/01/2020;512000
222;222;03/01/2020;246150
223;223;03/01/2020;573721
224;224;03/01/2020;917350
225;225;06/02/2020;311550
226;226;03/01/2020;625500
227;227;07/02/2020;677900
228;228;03/01/2020;673315
229;229;03/01/2020;707350
230;230;03/01/2020;461200
231;231;03/01/2020;502700
232;232;03/01/2020;276000
233;233;20/05/2020;395000
234;234;03/01/2020;638000
235;235;03/01/2020;196500
236;236;03/01/2020;34500
237;237;03/01/2020;116000
238;238;03/01/2020;93200
239;239;03/01/2020;142000
240;240;03/01/2020;98000
241;241;03/01/2020;172500
242;242;10/01/2020;169970
243;243;03/01/2020;141000
244;244;22/01/2020;157000
245;245;03/01/2020;440000
246;246;03/01/2020;131600
247;247;03/02/2020;108696
248;248;03/01/2020;205000
249;249;03/01/2020;93800
250;250;03/01/2020;135450
251;251;03/01/2020;102000
252;252;03/01/2020;185000
253;253;03/01/2020;196100
254;254;03/01/2020;212231
255;255;03/01/2020;113000
256;256;10/01/2020;109000
257;257;20/05/2020;190000
258;258;03/01/2020;331000
259;259;03/01/2020;93000
260;260;03/01/2020;596370
261;261;03/01/2020;97000
262;262;03/01/2020;305000
263;263;03/03/2020;229000
264;264;04/06/2020;290000
265;265;03/01/2020;99840
266;266;13/02/2020;128500
267;267;09/06/2020;145000
268;268;03/01/2020;150020
269;269;03/01/2020;300000
270;270;03/01/2020;121000
271;271;03/01/2020;148570
272;272;14/01/2020;157000
273;273;03/01/2020;105840
274;274;03/01/2020;138000
275;275;03/01/2020;33000
276;276;03/01/2020;40000
277;277;03/01/2020;56650
278;278;03/01/2020;160000
279;279;03/01/2020;360000
280;280;03/01/2020;171000
281;281;03/01/2020;213500
282;282;03/01/2020;157500
283;283;03/01/2020;255680
284;284;03/01/2020;244000
285;285;03/01/2020;435000
286;286;03/01/2020;254000
287;287;03/01/2020;284984
288;288;03/01/2020;302000
289;289;03/01/2020;548000
290;290;19/02/2020;329000
291;291;03/01/2020;877100
292;292;03/01/2020;213615
293;293;31/01/2020;632000
294;294;03/01/2020;300800
295;295;10/02/2020;675000
296;296;03/01/2020;857950
297;297;03/01/2020;380000
298;298;03/01/2020;318700
299;299;03/01/2020;256760
300;300;03/03/2020;291000
301;301;03/01/2020;291262
302;302;03/01/2020;161320
303;303;03/01/2020;164000
304;304;03/01/2020;662300
305;305;03/01/2020;227600
306;306;03/01/2020;312450
307;307;21/02/2020;330000
308;308;03/01/2020;348450
309;309;03/01/2020;298333
310;310;03/01/2020;326200
311;311;03/01/2020;349000
312;312;03/01/2020;43000
313;313;03/01/2020;192000
314;314;03/01/2020;142100
315;315;03/01/2020;572000
316;316;03/01/2020;130000
317;317;03/01/2020;134000
318;318;03/01/2020;209000
319;319;03/01/2020;378850
320;320;03/01/2020;440425
321;321;03/01/2020;331000
322;322;15/06/2020;508000
323;323;03/01/2020;410370
324;324;03/01/2020;145000
325;325;03/01/2020;218000
326;326;03/01/2020;269000
327;327;14/02/2020;172900
328;328;03/01/2020;374675
329;329;03/01/2020;163000
330;330;03/01/2020;224500
331;331;03/01/2020;159000
332;332;03/01/2020;195600
333;333;20/03/2020;216950
334;334;02/06/2020;202000
335;335;03/01/2020;240000
336;336;03/01/2020;174000
337;337;04/01/2020;84000
338;338;04/01/2020;76100
339;339;08/02/2020;150000
340;340;04/01/2020;67750
341;341;13/06/2020;71300
342;342;04/01/2020;75200
343;343;04/01/2020;176000
344;344;04/01/2020;123000
345;345;04/01/2020;87900
346;346;04/01/2020;57200
347;347;04/01/2020;74000
348;348;06/01/2020;285000
349;349;06/01/2020;429250
350;350;06/01/2020;196000
351;351;06/01/2020;443000
352;352;06/01/2020;170000
353;353;30/01/2020;296000
354;354;06/01/2020;128600
355;355;06/01/2020;81000
356;356;06/01/2020;335000
357;357;11/05/2020;635000
358;358;06/01/2020;212200
359;359;06/01/2020;643815
360;360;06/01/2020;113200
361;361;06/01/2020;88000
362;362;06/01/2020;99500
363;363;06/01/2020;90000
364;364;06/01/2020;68600
365;365;06/01/2020;52000
366;366;19/02/2020;43800
367;367;06/05/2020;63000
368;368;06/01/2020;207500
369;369;06/01/2020;237000
370;370;06/01/2020;72200
371;371;06/01/2020;318000
372;372;06/01/2020;330850
373;373;06/01/2020;144950
374;374;06/01/2020;144000
375;375;06/01/2020;82000
376;376;06/01/2020;298000
377;377;06/01/2020;91000
378;378;06/01/2020;265000
379;379;06/01/2020;197000
380;380;05/03/2020;364000
381;381;06/01/2020;375000
382;382;06/01/2020;104000
383;383;06/01/2020;173000
384;384;06/01/2020;275000
385;385;06/01/2020;160000
386;386;08/04/2020;175000
387;387;06/01/2020;110000
388;388;15/05/2020;165770
389;389;06/01/2020;53900
390;390;06/01/2020;206300
391;391;06/01/2020;72000
392;392;06/01/2020;188900
393;393;06/01/2020;65000
394;394;06/01/2020;149500
395;395;06/01/2020;150900
396;396;06/01/2020;90000
397;397;06/01/2020;106000
398;398;06/01/2020;86000
399;399;06/01/2020;46000
400;400;06/01/2020;72000
401;401;26/05/2020;62000
402;402;10/06/2020;67500
403;403;06/01/2020;88000
404;404;06/01/2020;137000
405;405;28/02/2020;92000
406;406;06/01/2020;360000
407;407;06/01/2020;33000
408;408;06/01/2020;122450
409;409;06/01/2020;99750
410;410;06/01/2020;153300
411;411;06/01/2020;172950
412;412;06/01/2020;71530
413;413;06/01/2020;78000
414;414;06/01/2020;204000
415;415;06/01/2020;155000
416;416;06/01/2020;134000
417;417;06/01/2020;97000
418;418;07/01/2020;84800
419;419;27/01/2020;74000
420;420;04/06/2020;79000
421;421;06/01/2020;162000
422;422;06/01/2020;142200
423;423;06/01/2020;214000
424;424;16/01/2020;147000
425;425;06/01/2020;240000
426;426;06/01/2020;120000
427;427;06/01/2020;75200
428;428;06/01/2020;33000
429;429;06/01/2020;31000
430;430;30/05/2020;25000
431;431;06/01/2020;43000
432;432;06/01/2020;44950
433;433;06/01/2020;138000
434;434;06/01/2020;221300
435;435;06/01/2020;291000
436;436;06/01/2020;145000
437;437;12/05/2020;165424
438;438;06/01/2020;106000
439;439;06/01/2020;87000
440;440;19/05/2020;111200
441;441;06/01/2020;127900
442;442;06/01/2020;47000
443;443;06/01/2020;105003
444;444;06/01/2020;37000
445;445;06/01/2020;85500
446;446;06/01/2020;88000
447;447;09/01/2020;26000
448;448;24/02/2020;38500
449;449;06/01/2020;30500
450;450;30/04/2020;31500
451;451;06/01/2020;52381
452;452;06/01/2020;46000
453;453;05/02/2020;22500
454;454;06/01/2020;86000
455;455;06/01/2020;120300
456;456;06/01/2020;158500
457;457;06/01/2020;270000
458;458;10/02/2020;300000
459;459;15/02/2020;154000
460;460;19/05/2020;264600
461;461;06/01/2020;130000
462;462;06/01/2020;265320
463;463;06/01/2020;325000
464;464;06/01/2020;99900
465;465;06/01/2020;130000
466;466;06/01/2020;202380
467;467;06/01/2020;300000
468;468;06/01/2020;38200
469;469;06/01/2020;240000
470;470;06/01/2020;43000
471;471;06/01/2020;169000
472;472;06/01/2020;368000
473;473;06/01/2020;106574
474;474;06/01/2020;449000
475;475;06/01/2020;334450
476;476;06/01/2020;380000
477;477;06/01/2020;1829700
478;478;06/01/2020;3380000
479;479;06/01/2020;1565002
480;480;06/01/2020;800000
481;481;06/01/2020;362050
482;482;06/01/2020;482000
483;483;06/01/2020;601400
484;484;06/01/2020;506500
485;485;06/01/2020;204650
486;486;06/01/2020;1475700
487;487;06/01/2020;551800
488;488;06/01/2020;362300
489;489;06/01/2020;295700
490;490;06/01/2020;688292
491;491;12/06/2020;522650
492;492;06/01/2020;596650
493;493;06/01/2020;471000
494;494;06/01/2020;95000
495;495;06/01/2020;590000
496;496;06/01/2020;533000
497;497;06/01/2020;126000
498;498;06/01/2020;607500
499;499;06/01/2020;7420000
500;500;06/01/2020;328950
501;501;06/01/2020;552800
502;502;06/01/2020;343000
503;503;06/01/2020;532000
504;504;06/01/2020;1613000
505;505;06/01/2020;352500
506;506;06/01/2020;276930
507;507;06/01/2020;1188000
508;508;06/01/2020;112000
509;509;06/01/2020;403000
510;510;06/01/2020;60000
511;511;06/01/2020;124000
512;512;06/01/2020;225000
513;513;06/01/2020;185500
514;514;06/01/2020;113000
515;515;13/01/2020;57000
516;516;24/01/2020;37500
517;517;27/02/2020;36000
518;518;01/06/2020;92000
519;519;06/01/2020;45000
520;520;06/01/2020;189000
521;521;27/02/2020;104000
522;522;06/01/2020;145000
523;523;18/02/2020;124000
524;524;15/06/2020;117000
525;525;06/01/2020;257000
526;526;06/01/2020;175000
527;527;25/02/2020;198000
528;528;14/05/2020;152000
529;529;06/01/2020;370050
530;530;06/01/2020;128000
531;531;06/01/2020;168500
532;532;06/01/2020;582000
533;533;06/01/2020;181500
534;534;06/01/2020;240750
535;535;06/01/2020;271500
536;536;24/01/2020;202500
537;537;13/05/2020;267000
538;538;06/01/2020;102820
539;539;06/01/2020;740000
540;540;06/01/2020;54000
541;541;06/01/2020;224900
542;542;06/01/2020;90000
543;543;06/01/2020;148500
544;544;15/06/2020;114000
545;545;06/01/2020;372841
546;546;06/01/2020;235200
547;547;06/01/2020;80000
548;548;06/01/2020;182500
549;549;03/04/2020;125000
550;550;06/01/2020;103000
551;551;06/01/2020;51000
552;552;06/01/2020;134500
553;553;06/01/2020;39000
554;554;06/01/2020;168637
555;555;06/01/2020;265000
556;556;06/01/2020;134000
557;557;06/01/2020;291150
558;558;06/01/2020;377000
559;559;06/01/2020;391200
560;560;06/01/2020;476469
561;561;06/01/2020;910000
562;562;06/01/2020;186000
563;563;06/01/2020;164000
564;564;06/01/2020;185000
565;565;06/01/2020;388326
566;566;14/01/2020;422200
567;567;06/01/2020;606820
568;568;06/01/2020;423100
569;569;22/01/2020;287000
570;570;06/01/2020;518192
571;571;06/01/2020;345000
572;572;06/01/2020;335000
573;573;06/01/2020;121000
574;574;21/02/2020;294280
575;575;06/01/2020;380000
576;576;06/01/2020;1550000
577;577;06/01/2020;645000
578;578;06/01/2020;825750
579;579;06/01/2020;345000
580;580;06/01/2020;166000
581;581;06/01/2020;254800
582;582;06/01/2020;460000
583;583;06/01/2020;1225000
584;584;06/01/2020;354750
585;585;08/06/2020;475000
586;586;06/01/2020;196800
587;587;06/01/2020;156350
588;588;06/01/2020;350000
589;589;06/01/2020;644000
590;590;06/01/2020;319000
591;591;06/01/2020;160000
592;592;06/01/2020;240000
593;593;06/01/2020;435000
594;594;06/01/2020;408000
595;595;15/01/2020;359000
596;596;28/01/2020;378000
597;597;06/01/2020;153000
598;598;06/01/2020;187000
599;599;06/01/2020;420600
600;600;06/01/2020;281000
601;601;06/01/2020;168500
602;602;06/01/2020;267000
603;603;10/06/2020;272000
604;604;06/01/2020;129000
605;605;06/01/2020;197050
606;606;06/01/2020;389980
607;607;06/01/2020;109000
608;608;06/01/2020;195000
609;609;06/01/2020;137000
610;610;31/03/2020;109000
611;611;06/01/2020;189800
612;612;21/02/2020;293000
613;613;27/02/2020;21000
614;614;06/01/2020;285500
615;615;21/02/2020;300500
616;616;06/01/2020;165000
617;617;06/01/2020;225000
618;618;06/01/2020;252000
619;619;06/01/2020;244783
620;620;06/01/2020;1400000
621;621;06/01/2020;240750
622;622;06/01/2020;100000
623;623;06/01/2020;660000
624;624;06/01/2020;1690000
625;625;29/05/2020;1160000
626;626;06/01/2020;130000
627;627;06/01/2020;179500
628;628;06/01/2020;212500
629;629;06/01/2020;208000
630;630;15/06/2020;293000
631;631;06/01/2020;181230
632;632;13/02/2020;165010
633;633;08/04/2020;181930
634;634;07/01/2020;220900
635;635;07/01/2020;212150
636;636;07/01/2020;262000
637;637;07/01/2020;131990
638;638;15/01/2020;74169
639;639;21/01/2020;111324
640;640;07/01/2020;133950
641;641;29/01/2020;274800
642;642;07/01/2020;405000
643;643;07/01/2020;151000
644;644;07/01/2020;581098
645;645;07/01/2020;245000
646;646;07/01/2020;198000
647;647;07/01/2020;233000
648;648;07/01/2020;73500
649;649;07/01/2020;140000
650;650;07/01/2020;66000
651;651;07/01/2020;42500
652;652;07/01/2020;59000
653;653;07/01/2020;66820
654;654;07/01/2020;51000
655;655;07/01/2020;257965
656;656;14/02/2020;291500
657;657;07/01/2020;150000
658;658;07/01/2020;172000
659;659;07/01/2020;75000
660;660;07/01/2020;140000
661;661;07/01/2020;169600
662;662;07/01/2020;12000
663;663;07/01/2020;74900
664;664;07/01/2020;162000
665;665;07/01/2020;88000
666;666;08/01/2020;242000
667;667;07/01/2020;87000
668;668;08/01/2020;223400
669;669;07/01/2020;361000
670;670;13/01/2020;370000
671;671;12/02/2020;153000
672;672;07/01/2020;218000
673;673;07/01/2020;159000
674;674;04/03/2020;120400
675;675;12/03/2020;97000
676;676;07/01/2020;107000
677;677;07/01/2020;82500
678;678;07/01/2020;123000
679;679;20/05/2020;100000
680;680;07/01/2020;97000
681;681;11/03/2020;86500
682;682;23/05/2020;100000
683;683;29/05/2020;88000
684;684;07/01/2020;39000
685;685;07/01/2020;34450
686;686;07/01/2020;80300
687;687;07/01/2020;102000
688;688;07/01/2020;92600
689;689;07/01/2020;59000
690;690;07/01/2020;84500
691;691;07/01/2020;111800
692;692;07/01/2020;51500
693;693;14/05/2020;65000
694;694;07/01/2020;73774
695;695;12/02/2020;58019
696;696;12/03/2020;60377
697;697;07/01/2020;166450
698;698;07/01/2020;165000
699;699;22/01/2020;129700
700;700;07/01/2020;371500
701;701;07/01/2020;150400
702;702;20/01/2020;177000
703;703;07/01/2020;204620
704;704;07/01/2020;118400
705;705;07/01/2020;216000
706;706;07/01/2020;233000
707;707;07/01/2020;60000
708;708;29/01/2020;171000
709;709;30/01/2020;67500
710;710;04/06/2020;183000
711;711;07/01/2020;123000
712;712;13/01/2020;169000
713;713;21/01/2020;93275
714;714;04/02/2020;158800
715;715;13/02/2020;119350
716;716;19/02/2020;40000
717;717;16/06/2020;115000
718;718;07/01/2020;144310
719;719;07/01/2020;76400
720;720;07/01/2020;69000
721;721;07/01/2020;128420
722;722;07/01/2020;80750
723;723;07/01/2020;196400
724;724;10/03/2020;175750
725;725;07/01/2020;57000
726;726;07/01/2020;602500
727;727;07/01/2020;283050
728;728;07/01/2020;192000
729;729;07/01/2020;61610
730;730;30/04/2020;85000
731;731;07/01/2020;86980
732;732;07/01/2020;253000
733;733;07/01/2020;56500
734;734;07/01/2020;45600
735;735;07/01/2020;245230
736;736;07/01/2020;119000
737;737;07/01/2020;92000
738;738;07/01/2020;179900
739;739;07/01/2020;98000
740;740;07/01/2020;127000
741;741;07/01/2020;167300
742;742;07/01/2020;143300
743;743;07/01/2020;52000
744;744;07/01/2020;92000
745;745;07/01/2020;137900
746;746;07/01/2020;172900
747;747;07/01/2020;132197
748;748;07/01/2020;11000
749;749;07/01/2020;120000
750;750;07/01/2020;585000
751;751;07/01/2020;67500
752;752;07/01/2020;31500
753;753;07/01/2020;275000
754;754;07/01/2020;74000
755;755;07/01/2020;90000
756;756;07/01/2020;209750
757;757;04/03/2020;187700
758;758;07/01/2020;196500
759;759;07/01/2020;142040
760;760;07/01/2020;183400
761;761;07/01/2020;170000
762;762;07/01/2020;261470
763;763;07/01/2020;630000
764;764;07/01/2020;40000
765;765;07/01/2020;207200
766;766;07/01/2020;266000
767;767;07/01/2020;223090
768;768;07/01/2020;1250000
769;769;07/01/2020;680000
770;770;07/01/2020;459000
771;771;07/01/2020;312000
772;772;07/01/2020;519000
773;773;02/06/2020;855000
774;774;07/01/2020;324000
775;775;07/01/2020;308729
776;776;07/01/2020;554690
777;777;07/01/2020;231000
778;778;07/01/2020;189000
779;779;07/01/2020;145000
780;780;07/01/2020;192500
781;781;19/03/2020;158000
782;782;07/01/2020;337000
783;783;07/01/2020;200000
784;784;07/01/2020;70000
785;785;07/01/2020;371270
786;786;07/01/2020;108600
787;787;07/01/2020;423000
788;788;07/01/2020;132500
789;789;07/01/2020;287000
790;790;07/01/2020;468000
791;791;07/01/2020;111500
792;792;07/01/2020;175000
793;793;07/01/2020;47500
794;794;07/01/2020;116000
795;795;07/01/2020;78500
796;796;07/01/2020;138500
797;797;07/01/2020;540000
798;798;07/01/2020;71500
799;799;07/01/2020;421280
800;800;07/01/2020;234000
801;801;07/01/2020;199120
802;802;07/01/2020;339200
803;803;07/01/2020;514142
804;804;07/01/2020;201813
805;805;07/01/2020;202500
806;806;07/01/2020;220000
807;807;07/01/2020;315000
808;808;07/01/2020;149000
809;809;07/01/2020;35000
810;810;08/01/2020;720000
811;811;08/01/2020;190000
812;812;08/01/2020;241030
813;813;16/03/2020;138000
814;814;08/01/2020;620000
815;815;08/01/2020;97500
816;816;08/01/2020;309000
817;817;13/02/2020;61000
818;818;08/01/2020;490000
819;819;08/01/2020;340750
820;820;08/01/2020;214700
821;821;08/01/2020;415000
822;822;08/01/2020;195000
823;823;08/01/2020;205000
824;824;08/01/2020;146880
825;825;08/01/2020;95000
826;826;08/01/2020;57000
827;827;08/01/2020;48420
828;828;08/01/2020;93500
829;829;08/01/2020;98000
830;830;08/01/2020;75500
831;831;08/01/2020;105000
832;832;08/01/2020;119800
833;833;08/01/2020;40000
834;834;08/01/2020;152000
835;835;08/01/2020;85000
836;836;08/01/2020;68000
837;837;08/01/2020;65748
838;838;08/01/2020;76500
839;839;08/01/2020;201400
840;840;04/02/2020;205000
841;841;08/01/2020;215000
842;842;08/01/2020;148000
843;843;19/02/2020;139000
844;844;03/06/2020;149950
845;845;08/01/2020;187000
846;846;08/01/2020;22000
847;847;08/01/2020;21750
848;848;27/03/2020;33000
849;849;08/01/2020;68500
850;850;08/01/2020;108000
851;851;08/01/2020;500000
852;852;06/02/2020;275000
853;853;08/01/2020;248910
854;854;08/01/2020;85800
855;855;08/01/2020;130000
856;856;18/02/2020;47500
857;857;08/01/2020;163400
858;858;08/01/2020;257500
859;859;08/01/2020;133200
860;860;08/01/2020;139000
861;861;28/02/2020;227185
862;862;08/01/2020;243000
863;863;08/01/2020;218000
864;864;08/01/2020;149400
865;865;08/01/2020;147800
866;866;08/01/2020;133900
867;867;08/01/2020;160000
868;868;08/01/2020;79000
869;869;08/01/2020;278400
870;870;08/01/2020;273600
871;871;08/01/2020;120930
872;872;08/01/2020;100000
873;873;08/01/2020;106500
874;874;08/01/2020;149000
875;875;08/01/2020;165200
876;876;08/01/2020;58000
877;877;08/01/2020;145000
878;878;08/01/2020;54500
879;879;29/05/2020;63000
880;880;08/01/2020;283000
881;881;08/01/2020;237000
882;882;08/01/2020;153190
883;883;08/01/2020;65210
884;884;20/02/2020;95000
885;885;08/01/2020;185000
886;886;08/01/2020;45082
887;887;08/01/2020;92000
888;888;08/01/2020;141000
889;889;08/01/2020;43000
890;890;08/01/2020;138400
891;891;08/01/2020;78000
892;892;08/01/2020;141650
893;893;08/01/2020;61750
894;894;08/01/2020;92800
895;895;08/01/2020;106500
896;896;08/01/2020;93500
897;897;08/01/2020;142000
898;898;08/01/2020;36900
899;899;18/03/2020;45000
900;900;08/01/2020;145000
901;901;08/01/2020;45000
902;902;08/01/2020;157000
903;903;08/01/2020;243010
904;904;08/01/2020;155490
905;905;08/04/2020;89000
906;906;14/05/2020;149000
907;907;08/01/2020;235294
908;908;08/01/2020;740000
909;909;08/01/2020;254000
910;910;08/01/2020;119000
911;911;08/01/2020;26500
912;912;08/01/2020;17000
913;913;08/01/2020;221775
914;914;22/02/2020;84300
915;915;08/01/2020;105000
916;916;08/01/2020;236538
917;917;08/01/2020;572500
918;918;08/01/2020;370000
919;919;08/01/2020;648600
920;920;08/01/2020;879000
921;921;08/01/2020;432000
922;922;08/01/2020;1195000
923;923;08/01/2020;2184420
924;924;08/01/2020;1493825
925;925;08/01/2020;871900
926;926;08/01/2020;215000
927;927;08/01/2020;744000
928;928;08/01/2020;384000
929;929;08/01/2020;845575
930;930;08/01/2020;599100
931;931;08/01/2020;327500
932;932;08/01/2020;1140000
933;933;08/01/2020;545000
934;934;08/01/2020;383000
935;935;08/01/2020;267000
936;936;08/01/2020;478000
937;937;08/01/2020;585000
938;938;08/01/2020;721900
939;939;08/01/2020;1091250
940;940;08/01/2020;663688
941;941;08/01/2020;317320
942;942;20/01/2020;334125
943;943;08/01/2020;516000
944;944;29/04/2020;218000
945;945;08/01/2020;900800
946;946;08/01/2020;93000
947;947;28/02/2020;170040
948;948;27/04/2020;67445
949;949;30/04/2020;85680
950;950;27/05/2020;109000
951;951;08/01/2020;269000
952;952;08/01/2020;325500
953;953;08/01/2020;50000
954;954;08/01/2020;438750
955;955;08/01/2020;91000
956;956;08/01/2020;420000
957;957;08/01/2020;188596
958;958;08/01/2020;165000
959;959;08/01/2020;128000
960;960;08/01/2020;187000
961;961;08/01/2020;132000
962;962;28/05/2020;136000
963;963;08/01/2020;493600
964;964;08/01/2020;470000
965;965;08/01/2020;158000
966;966;08/01/2020;139650
967;967;10/02/2020;237375
968;968;08/01/2020;254000
969;969;08/01/2020;292500
970;970;08/01/2020;97000
971;971;08/01/2020;257500
972;972;08/01/2020;198000
973;973;08/01/2020;201000
974;974;08/01/2020;101885
975;975;04/02/2020;115000
976;976;26/02/2020;135000
977;977;08/01/2020;275000
978;978;08/01/2020;453000
979;979;08/01/2020;113000
980;980;08/01/2020;67000
981;981;12/06/2020;121500
982;982;08/01/2020;53500
983;983;08/01/2020;61000
984;984;08/01/2020;150000
985;985;08/01/2020;76000
986;986;15/05/2020;87000
987;987;08/01/2020;93840
988;988;08/01/2020;123400
989;989;08/01/2020;109990
990;990;08/01/2020;212000
991;991;30/01/2020;215290
992;992;28/05/2020;201000
993;993;08/01/2020;146835
994;994;13/03/2020;130097
995;995;08/01/2020;294000
