idBien;surfaceCarrez;codeTypeLocal;surfaceReelle;nbrePiecePrincipale;idAdresse;idBien_fusionne
134;56,05;2;58;2;106;106-AR-212-167
135;88,94;2;86;3;106;106-AR-212-210
136;55,5;2;52;3;107;107-BN-661-12
137;53,09;2;51;3;108;108-AK-279-71
138;48,24;2;50;2;109;109-804-B-175-8
139;28,4;2;30;1;110;110-815-M-99-1
140;51,01;2;51;3;111;111-825-A-46-14
141;51,54;2;52;3;112;112-853-Z-135-217
142;34,83;2;59;2;113;113-KH-86-24
143;12,44;2;13;1;114;114-AK-178-2
144;53,76;2;53;2;115;115-AI-300-4085
145;35,4;2;34;2;115;115-AI-300-3032
146;36,23;2;40;2;115;115-AI-300-4206
147;53,7;2;53;2;115;115-AI-300-4083
148;22,03;2;23;1;115;115-AI-300-4059
149;52,82;1;32;2;116;116-AB-463-8
150;32,18;2;33;1;117;117-BN-4-10
151;49,9;1;50;3;118;118-AE-1032-2
152;68,3;2;67;4;119;119-AR-505-125
153;54,42;2;57;2;120;120-AX-253-30
154;64;2;64;4;121;121-AH-149-142
155;31,05;2;33;1;122;122-BL-127-2
156;127,96;2;147;5;123;123-B-561-1
157;106,03;1;105;5;124;124-DB-271-11
158;32,29;2;50;2;125;125-AD-82-1
159;39,5;2;39;2;126;126-CD-242-2
160;39,28;2;39;2;126;126-CD-242-35
161;20;2;19;1;127;127-BZ-38-211
162;60,07;2;60;3;128;128-EV-60-95
163;54;2;57;2;129;129-AD-953-16
164;44,12;2;44;2;130;130-AO-162-132
165;19,07;2;19;1;130;130-AO-162-137
166;61,16;2;60;4;131;131-HA-74-11
167;86,3;1;86;4;132;132-AV-705-12
168;96,29;1;98;4;132;132-AV-705-7
169;39,23;2;45;2;133;133-AV-354-117
170;24,6;2;24;1;134;134-AC-132-14
171;42,2;2;42;2;135;135-BT-298-4
172;63,1;2;70;3;136;136-DR-1019-95
173;21;2;20;1;137;137-AH-769-29
174;95,74;2;95;3;138;138-BY-31-142
175;60,55;2;62;3;139;139-AH-26-13
176;29,78;1;25;1;140;140-BC-217-33
177;18,63;2;19;1;141;141-BV-206-3
178;82,35;1;47;3;142;142-BL-227-1
179;94,39;1;93;4;143;143-AB-362-7
180;62,14;2;64;3;144;144-IP-661-11
181;47,34;2;47;2;145;145-DM-293-242
182;46,92;2;47;2;145;145-DM-293-208
183;42,25;2;42;2;146;146-AD-274-33
184;65,71;2;65;3;147;147-BX-475-16
185;72,37;2;69;1;148;148-BE-605-121
186;57,88;2;47;2;149;149-AE-94-12
187;119,95;2;121;4;150;150-IK-1347-137
188;36,6;2;38;2;151;151-BW-95-13
189;97,51;2;105;3;152;152-AB-621-56
190;80,09;2;80;3;153;153-BL-47-112
191;29,73;1;30;2;154;154-BW-288-3
192;153,25;1;139;5;155;155-AT-691-1
193;41;2;37;1;156;156-AI-49-24
194;220,72;1;210;8;157;157-AZ-35-3
195;30,38;2;30;2;158;158-AL-11-166
196;18,44;2;18;1;158;158-AL-11-34
197;72,91;2;74;4;159;159-AP-304-1501
198;65,41;2;65;3;159;159-AP-304-1504
199;67,47;2;68;3;160;160-AE-388-2
200;45,5;2;45;2;161;161-AB-582-5
201;62,72;2;47;2;162;162-BX-168-6
202;108,84;2;109;4;163;163-AA-72-1006
203;43,25;2;43;2;164;164-BH-235-3
204;78,72;2;71;3;165;165-AI-10-5
205;32,82;2;38;1;166;166-BR-10-6
206;75,31;2;75;3;167;167-BT-147-35
207;75,87;2;76;4;168;168-A-282-3
208;168,38;2;106;4;169;169-B-658-7
209;21,29;2;21;1;170;170-B-4731-24
210;76,14;2;76;3;171;171-AE-590-86
211;36,91;2;37;3;172;172-AN-63-11
212;66;2;12;1;173;173-AK-80-74
213;25,34;2;25;2;174;174-AQ-126-84
214;21,34;2;20;1;175;175-AH-30-3
215;28,55;2;28;1;176;176-BJ-18-56
216;27,58;2;28;1;176;176-BJ-18-57
217;82,62;2;83;3;177;177-CN-19-129
218;30,18;2;31;2;178;178-BM-53-17
219;58,45;2;56;3;179;179-AX-56-101
220;31,12;2;30;2;180;180-CR-201-125
221;44,95;2;50;2;181;181-EV-42-111
222;25,06;2;26;1;182;182-CU-22-126
223;37,38;2;37;2;183;183-BS-113-10
224;99,96;2;97;6;184;184-DR-11-219
225;30,46;2;30;1;184;184-DR-11-2
226;63,16;2;75;3;185;185-CJ-107-21
227;55,61;2;55;3;185;185-CJ-107-24
228;47,12;2;47;2;186;186-CU-93-1071
229;53,01;2;50;3;187;187-AT-111-4
230;52,46;2;51;3;188;188-AV-46-33
231;52,24;2;50;2;189;189-AX-2-11
232;29,13;2;30;2;190;190-BV-49-8
233;36,8;2;37;2;190;190-BV-49-19
234;67,8;2;68;3;191;191-DA-19-242
235;21,01;2;25;1;192;192-AO-33-10
236;19,9;2;20;1;193;193-DG-232-107
237;45,84;2;30;1;194;194-AN-212-7
238;39,3;2;39;2;195;195-AC-124-75
239;32,99;2;29;2;196;196-AD-116-14
240;24,06;2;25;1;197;197-D-452-10
241;53,6;2;53;2;198;198-AH-28-30
242;69,3;2;69;3;198;198-AH-28-43
243;31,42;2;31;1;199;199-AI-105-5
244;51,12;2;50;2;199;199-AI-105-21
245;111,15;1;102;5;200;200-B-392-1
246;60,25;2;60;3;201;201-C-1354-31
247;44,83;2;45;2;201;201-C-1354-35
248;75,06;1;76;4;202;202-C-751-1
249;33,49;2;33;2;203;203-AI-133-107
250;44,94;2;45;2;204;204-AP-277-19
251;66,54;2;76;3;205;205-AO-80-4
252;42,2;2;42;2;206;206-BI-540-9
253;67,6;2;66;4;207;207-AB-18-148
254;53,05;2;55;3;208;208-AE-809-247
255;27,81;2;28;1;209;209-AO-895-18
256;27,44;2;28;1;209;209-AO-895-25
257;64,95;2;65;3;209;209-AO-895-14
258;101,85;1;107;6;210;210-A-76-3
259;55,06;2;51;3;211;211-AV-235-136
260;80,38;2;82;4;212;212-BV-148-4
261;71,05;1;71;3;213;213-E-1434-29
262;37,6;2;51;2;214;214-AP-68-608
263;37,58;2;42;2;214;214-AP-68-1808
264;35;2;38;2;214;214-AP-68-14102
265;15,2;2;15;1;215;215-BI-14-110
266;19,27;2;19;2;215;215-BI-14-209
267;24,54;2;24;2;215;215-BI-14-102
268;29,85;2;30;2;216;216-AK-74-762
269;64,84;2;64;3;217;217-BX-18-244
270;37,82;2;37;2;218;218-BW-592-11
271;64,41;2;64;3;219;219-ZW-262-2
272;64,42;2;64;3;219;219-ZW-262-4
273;63,63;2;64;3;220;220-AM-1318-1
274;88,5;1;88;4;221;221-AT-123-66
275;81,24;2;82;3;222;222-B-259-5
276;42,25;2;44;2;223;223-AH-272-29
277;56;2;56;3;224;224-BL-234-14
278;69,17;2;63;4;225;225-AP-236-19
279;146,94;1;168;6;226;226-AN-4-1151
280;49;2;49;3;227;227-AI-86-1
281;93,02;2;96;5;228;228-AV-31-150
282;40;2;44;2;229;229-AA-156-28
283;115,97;1;118;5;230;230-AP-11-1020
284;90;1;45;2;231;231-AP-110-1
285;67,23;2;66;4;232;232-AD-97-7
286;40,69;2;40;3;233;233-AH-2-2
287;54,2;2;54;2;234;234-U-39-24
288;52,47;2;52;3;235;235-C-110-11
289;65,62;2;56;1;236;236-AK-285-102
290;34,79;2;38;2;236;236-AK-285-101
291;87,15;2;88;4;237;237-AM-1-4
292;23,8;2;23;1;238;238-BD-84-4
293;74,7;2;74;3;238;238-BD-84-20
294;31,2;2;29;2;239;239-F-13-31
295;67,12;2;59;3;239;239-F-13-23
296;78,02;2;119;4;240;240-K-43-13
297;76,85;2;77;1;241;241-D-14-108
298;59,73;2;50;3;242;242-AC-383-5
299;40,8;2;74;3;243;243-C-261-81
300;49,54;2;74;3;243;243-C-261-83
301;61,06;2;62;3;244;244-BK-237-13
302;38,05;2;35;2;245;245-BS-12-260
303;32,02;2;32;2;246;246-Z-136-6
304;94,32;2;92;4;247;247-AU-35-12
305;61,97;2;63;3;248;248-AR-43-1021
306;61,93;2;61;3;249;249-CU-16-262
307;77,26;2;77;5;249;249-CU-16-212
308;25,16;2;25;1;250;250-AR-864-2
309;46,75;2;46;2;251;251-AR-891-904
310;48,5;2;47;2;252;252-AS-12-1315
311;44,17;2;43;2;253;253-L-77-11
312;35;2;35;2;254;254-K-182-16
313;30,45;2;30;2;255;255-O-5-12
314;70,56;2;71;3;256;256-J-236-1084
315;102,46;2;147;6;257;257-BL-110-1
316;21,13;2;21;1;258;258-U-146-24
317;41,57;2;42;2;259;259-N-50-25
318;29,07;2;15;1;260;260-V-114-18
319;68,02;2;67;3;261;261-AB-238-47
320;73,81;2;76;3;262;262-T-139-211
321;50,08;2;50;2;263;263-D-63-201
322;70,4;2;70;3;263;263-D-63-404
323;61,93;2;62;3;264;264-BJ-16-13
324;34,2;2;34;2;265;265-AV-31-11
325;39,39;2;39;2;266;266-X-120-1
326;84,23;2;82;4;267;267-AB-168-37
327;72,1;2;72;3;267;267-AB-168-49
328;50,6;2;50;3;268;268-H-12-89
329;25,14;2;20;1;269;269-I-56-22
330;64;2;63;3;270;270-AP-734-88
331;45,04;2;46;2;271;271-AO-909-225
332;56,86;2;57;3;272;272-AT-33-3
333;67,97;2;68;3;272;272-AT-33-7
334;56,75;2;57;3;272;272-AT-33-14
335;77,71;2;77;4;273;273-AK-772-14
336;61,05;2;61;3;274;274-BA-28-28
337;105,71;2;119;4;275;275-AS-456-7
338;30,09;2;30;2;276;276-AB-754-306
339;52,13;2;54;4;276;276-AB-754-311
340;30,38;2;30;2;277;277-AR-90-287
341;31,21;2;31;2;277;277-AR-90-870
342;47,04;2;46;2;278;278-BV-19-23
343;63,14;2;62;3;279;279-A-138-22
344;45,61;2;49;2;280;280-D-695-25
345;34,99;2;35;1;281;281-XY-121-314
346;67,19;2;67;4;282;282-CR-308-100
347;31,49;2;36;1;283;283-AN-261-2
348;82,59;2;75;3;284;284-AE-51-1
349;109,22;1;109;5;285;285-C-2307-11
350;144,6;2;120;4;286;286-AE-221-3
351;31,21;2;32;2;287;287-BT-168-16
352;24,58;2;24;1;288;288-AE-67-93
353;58,53;2;70;2;288;288-AE-67-120
354;36,6;2;36;2;289;289-AR-52-808
355;29;2;29;1;290;290-BI-366-118
356;54,34;2;57;2;291;291-BL-343-116
357;77,6;2;83;3;291;291-BL-343-148
358;32,83;2;33;2;292;292-KY-138-27
359;133,44;2;144;4;293;293-LE-363-177
360;63,58;2;63;3;294;294-AT-120-2
361;50,75;2;50;3;295;295-AP-467-10
362;47,88;2;48;2;296;296-AC-964-30
363;68,03;2;66;3;297;297-AD-321-1
364;23,89;2;25;3;298;298-AT-23-8
365;22,15;2;28;2;299;299-AY-18-316
366;26,57;2;28;1;299;299-AY-19-715
367;26,18;2;28;1;299;299-AY-19-516
368;82,72;2;84;5;300;300-AE-373-127
369;36,8;2;37;3;301;301-CE-31-11
370;29,29;2;30;1;302;302-AB-88-1
371;115,53;2;114;4;303;303-BI-298-4
372;92,99;1;61;3;304;304-AE-208-2
373;64,45;2;63;3;305;305-822-A-177-9
374;24,89;2;40;3;306;306-829-A-184-10
375;22,71;2;22;1;307;307-832-B-57-437
376;85,37;2;86;4;308;308-843-N-47-31
377;31,28;2;32;1;309;309-849-N-94-90
378;112,09;2;111;5;310;310-855-E-236-44
379;41,78;2;43;2;311;311-AC-488-105
380;73,48;2;72;3;311;311-AC-488-103
381;47,05;2;46;2;312;312-AD-513-129
382;77,87;2;78;3;313;313-DY-742-158
383;70,19;2;71;3;314;314-DI-124-39
384;168,7;2;123;4;315;315-BE-280-5
385;32,16;1;32;2;316;316-F-1849-19
386;35;1;32;2;316;316-F-1849-17
387;82,11;1;84;4;317;317-AV-439-4
388;89,11;1;85;4;317;317-AV-439-2
389;36,29;2;40;1;318;318-CY-110-123
390;65,24;2;65;3;319;319-LC-442-123
391;36,46;2;38;2;320;320-AD-314-10
392;60,16;2;65;3;321;321-830-AN-233-29
393;56,67;2;59;3;322;322-AH-96-86
394;50,16;2;50;2;323;323-AY-120-8
395;26,39;2;26;1;324;324-HB-211-3
396;35,8;2;35;2;325;325-AE-260-5
397;20,15;2;19;1;326;326-AI-525-54
398;62,55;2;65;2;327;327-A-797-3
399;23,7;2;23;1;328;328-OM-16-90
400;44,14;2;43;2;329;329-BR-189-36
401;30,53;2;30;2;329;329-BR-189-137
402;29,65;2;30;2;329;329-BR-189-128
403;59,19;2;72;3;330;330-CR-78-10
404;62,66;2;71;3;331;331-AI-145-163
405;29,81;2;29;2;331;331-AI-145-172
406;56,15;2;61;3;332;332-BE-389-29
407;16,54;2;17;1;333;333-AC-504-67
408;65,52;2;66;3;334;334-AO-157-13
409;31;2;31;2;335;335-BM-96-45
410;61,23;2;62;3;336;336-CX-123-35
411;76,75;2;73;3;337;337-DM-10-17
412;16,3;2;17;1;338;338-AD-637-12
413;60,73;2;61;4;339;339-BE-293-22
414;81,25;2;81;4;340;340-BH-333-31
415;97,41;1;101;5;341;341-AH-68-1
416;85,32;2;78;4;342;342-AE-181-13
417;45,94;2;46;2;343;343-AE-304-60
418;42;2;42;2;343;343-AE-304-36
419;46,17;2;46;2;343;343-AE-304-40
420;41,84;2;42;2;343;343-AE-304-6
421;53,22;1;50;3;344;344-BK-311-2
422;65,26;2;65;3;345;345-AD-1807-10
423;91,43;2;90;4;346;346-AI-1718-11
424;63,02;2;63;3;346;346-AI-1718-12
425;74,39;1;74;4;347;347-AA-529-26
426;90,2;2;66;3;348;348-AV-281-2
427;76,75;2;77;3;349;349-AW-3-143
428;41,31;2;42;2;350;350-AX-733-13
429;61,37;2;59;2;351;351-BT-64-346
430;64,77;2;62;3;351;351-BT-64-311
431;75,95;2;70;4;352;352-BE-54-61
432;36,98;2;50;2;353;353-AX-286-35
433;51,77;1;51;3;354;354-AL-89-248
434;62,88;1;50;1;355;355-TX-16-9
435;67,98;2;68;2;356;356-AD-701-713
436;53,25;2;52;2;357;357-AI-280-52
437;74,6;2;74;4;357;357-AI-280-43
438;60,7;2;60;3;358;358-BC-416-2
439;70,03;2;68;4;359;359-AN-623-33
440;70,49;2;68;4;359;359-AN-623-27
441;44,39;2;45;2;360;360-AO-773-8
442;26,25;2;26;1;361;361-BI-867-869
443;71,08;2;75;3;362;362-BK-724-38
444;21,62;2;20;1;363;363-CS-534-22
445;39,78;2;40;2;364;364-AB-593-814
446;59,19;2;59;2;365;365-AK-340-2
447;35,68;2;35;2;365;365-AK-340-8
448;44,81;2;46;2;365;365-AK-340-3
449;31,79;2;30;1;366;366-BE-398-8
450;34,66;2;34;1;366;366-BE-398-9
451;43,85;2;44;2;367;367-BI-845-4
452;58,53;2;56;3;368;368-AD-113-16
453;59,07;2;56;3;368;368-AD-113-15
454;38,01;2;38;2;369;369-ZS-224-80
455;43,84;2;44;2;370;370-AI-60-59
456;64,45;2;80;4;371;371-AE-158-2
457;87,68;1;82;4;372;372-AO-590-820
458;64,93;2;73;4;372;372-AO-576-413
459;39,98;2;41;2;372;372-AO-569-202
460;88,81;1;81;4;372;372-AO-575-1006
461;54,68;2;54;2;373;373-AR-237-37
462;60,77;2;61;3;374;374-BZ-199-26
463;104,11;1;102;4;375;375-AB-724-2
464;56,02;2;57;3;376;376-AL-234-2
465;28,17;2;54;3;377;377-AO-180-54
466;49,13;2;52;1;378;378-BS-31-8
467;51,01;2;52;2;379;379-AZ-46-41
468;20,92;2;21;1;380;380-AT-517-21
469;30,84;2;27;2;381;381-AM-413-88
470;16,7;2;25;2;382;382-A-3059-245
471;47,17;2;47;2;383;383-C-2331-27
472;27,37;2;26;2;384;384-AF-99-32
473;26,43;2;11;1;385;385-AI-5-35
474;34,6;2;27;2;386;386-AF-26-37
475;27,01;2;26;1;387;387-AL-100-48
476;29,5;2;29;1;388;388-AU-5-17
477;110,09;2;109;5;389;389-BF-16-30
478;165,15;2;163;5;390;390-BH-72-26
479;78,83;2;79;3;391;391-BJ-59-15
480;48,96;2;52;2;392;392-BM-18-17
481;36,47;2;29;2;393;393-AL-44-55
482;49,6;2;50;2;394;394-AL-5-3
483;69,08;2;71;3;395;395-BB-57-116
484;50,78;2;48;3;396;396-BK-41-8
485;18,21;2;23;1;397;397-AM-39-19
486;130,65;2;135;5;398;398-BH-18-49
487;53,8;2;53;3;399;399-BT-29-31
488;31,48;2;32;2;399;399-BT-29-32
489;26,98;2;23;2;400;400-CP-16-24
490;64,38;2;57;3;401;401-CM-38-30
491;54,66;2;54;3;401;401-CM-38-42
492;48,65;2;50;2;402;402-EO-18-17
493;47,03;2;51;2;403;403-DV-51-10
494;52,28;2;31;3;404;404-CL-63-5
495;77,97;2;75;4;405;405-CU-73-2
496;54,56;2;50;3;406;406-CW-8-7
497;10,8;2;12;1;407;407-BF-64-6
498;55,63;2;62;3;408;408-DG-11-32
499;360,95;2;357;8;409;409-DV-46-5
500;30,02;2;27;1;410;410-EC-42-77
501;50,22;2;55;2;411;411-AK-12-23
502;28,35;2;14;1;412;412-CD-40-2
503;48,88;2;50;3;413;413-CJ-27-103
504;131,25;2;135;7;414;414-CK-68-11
505;39,34;2;42;3;415;415-CO-65-12
506;22,84;2;22;1;416;416-CP-47-12
507;83,25;2;80;4;417;417-CS-88-23
508;13,15;2;11;1;418;418-BT-64-119
509;46,01;2;48;2;419;419-DX-82-187
510;39,6;2;52;2;420;420-C-2103-17
511;45,45;2;46;2;421;421-AH-824-48
512;60,7;2;60;3;422;422-ZI-233-115
513;55,2;2;55;3;423;423-BI-845-12
514;100,8;2;100;5;424;424-BP-56-4250
515;34,9;2;35;1;424;424-BP-56-4233
516;13,76;2;14;1;424;424-BP-56-4004
517;14,54;2;15;1;424;424-BP-56-4002
518;78,35;2;85;4;424;424-BP-56-4061
519;25,45;2;25;1;425;425-AO-63-1
520;40,35;2;40;1;426;426-ZA-182-238
521;21,44;2;22;1;426;426-ZA-182-441
522;99,42;2;99;4;427;427-A-162-13
523;79,58;2;80;4;427;427-A-162-204
524;80,91;2;80;4;427;427-A-1734-205
525;118,56;1;107;5;428;428-AI-142-5
526;66,42;2;67;3;429;429-AC-21-210
527;88,94;2;89;5;429;429-AC-21-232
528;67,8;2;67;3;429;429-AC-21-203
529;75,16;2;75;3;430;430-AI-725-133
530;56,83;2;54;3;431;431-AC-29-18
531;27,01;2;25;1;432;432-AL-516-59
532;111;2;112;5;432;432-AL-516-60
533;52,53;2;53;2;433;433-AD-358-4207
534;55,03;2;65;4;434;434-AH-997-6
535;88,78;2;91;5;435;435-AK-563-207
536;58,96;2;57;2;435;435-AK-563-577
537;88,57;2;86;5;435;435-AK-563-469
538;17,78;2;20;1;436;436-AX-236-3
539;98,99;1;110;5;437;437-BE-422-1
540;19,97;2;20;1;438;438-XZ-75-38
541;87,02;1;85;4;439;439-AX-2-5
542;48,4;2;52;2;440;440-BN-15-20
543;25,29;2;26;1;441;441-AC-513-6
544;24,47;2;26;1;441;441-AC-513-27
545;68,46;2;70;3;442;442-CM-82-29
546;57,68;2;51;3;443;443-DV-21-2
547;63,17;2;79;3;444;444-BR-17-20
548;52,9;2;52;3;445;445-AO-266-51
549;39,47;2;40;3;445;445-AO-266-47
550;44,4;2;44;2;446;446-DE-160-2107
551;65,74;2;56;3;447;447-AK-45-5
552;61,74;2;64;3;448;448-AH-364-102
553;70,19;2;49;3;449;449-AH-44-13
554;66,05;2;66;3;450;450-B-509-38
555;89,43;1;89;5;451;451-AC-196-4
556;71,64;2;69;3;452;452-BK-32-8
557;107,15;1;109;5;453;453-AB-242-5
558;87,01;2;96;4;454;454-AF-246-3
559;52,9;2;53;3;455;455-AC-16-10
560;63,2;2;60;3;456;456-AG-72-1
561;122,8;1;75;5;457;457-AV-37-36
562;53,39;2;52;2;458;458-D-117-45
563;25,5;2;27;1;459;459-O-115-16
564;27,73;2;22;2;460;460-F-267-11
565;56,21;2;50;3;461;461-J-226-61
566;69,81;2;75;4;461;461-J-226-27
567;96,33;2;93;4;462;462-AY-88-224
568;49,42;2;50;2;463;463-BM-19-18
569;27,74;2;28;1;463;463-BM-19-34
570;51,34;2;50;2;464;464-E-47-3
571;149,71;2;148;5;465;465-S-75-7
572;44,5;2;44;2;466;466-AC-171-23
573;23,95;2;20;1;467;467-S-23-140
574;59,41;2;50;3;467;467-S-23-25
575;76,07;1;75;3;468;468-V-801-18
576;70;1;55;3;469;469-S-138-1
577;66,05;2;65;3;470;470-Q-272-371
578;85,07;2;84;4;471;471-T-38-21
579;58,94;2;59;3;472;472-AP-378-25
580;30,52;2;45;3;473;473-CJ-92-2
581;71,62;2;68;3;474;474-F-1318-1066
582;48,65;2;40;3;475;475-AE-45-15
583;122,79;2;130;4;476;476-AO-124-3
584;68,51;2;67;3;477;477-U-101-610
585;91,97;2;91;4;477;477-U-101-618
586;23,28;2;22;1;478;478-Y-172-12
587;22,51;2;22;1;479;479-AD-147-184
588;53,68;2;53;2;480;480-AO-158-11
589;88,9;1;87;4;481;481-AR-163-4
590;64,41;2;60;4;482;482-AB-16-26
591;21,28;2;21;1;483;483-H-231-45
592;49,28;2;48;3;484;484-J-95-37
593;64,41;2;48;3;485;485-BH-83-7
594;82,56;2;83;4;486;486-BX-72-141
595;80,09;2;83;4;486;486-BX-72-27
596;83,49;2;83;4;486;486-BX-72-105
597;73,6;2;73;4;487;487-A-786-28
598;93,49;2;93;5;488;488-AL-420-338
599;72,52;1;75;4;489;489-K-99-31
600;59,69;2;57;3;490;490-P-100-25
601;85,22;2;84;4;491;491-AB-255-30041
602;34,92;2;34;2;492;492-A-62-29
603;15,9;2;13;1;492;492-A-62-8
604;49,45;1;31;1;493;493-S-153-3
605;81,95;2;82;4;494;494-AM-178-295
