idAdresse;noVoie;B_T_Q;typeVoie;nomVoie;idcodeDepartement_codeCommune
69;31;;AV;DE LA SABLIERE CAPTE;83069
70;9100;;RES;LE GRAND SOLEIL;83112
71;8;;ALL;DES PAQUERETTES;83123
72;43;;RUE;CAMPANE;84007
73;78;;RUE;CARNOT;85047
74;20;B;ALL;DU HAUT POITOU;86062
75;9007;;RUE;DES DOUVES;86194
76;14;;RUE;DU CLUZEAU;87075
77;8;;RUE;GEORGES BELJEAN;87085
78;2;;RUE;D ADELAIAU;91249
79;6;;RUE;DE LA DIVISION LECLERC;91689
80;79;;RUE;DE VARSOVIE;92025
81;5;;BD;GEORGES CLEMENCEAU;92026
82;32;;RUE;GEORGES THORETTON;92036
83;74;;RUE;JULES GUESDE;92044
84;35;;AV;SAINTE FOY;93032
85;4;;ALL;JOSEPHINE;93051
86;129;;ALL;JULES AUFFRET;93057
87;1;;PL;GASTON BUSSIERE;93071
88;21;;RUE;CLAUDE BERNARD;94044
89;18;;RUE;DE PROVENCE;94060
90;4;;RUE;DU CLOS SAINT NICOLAS;94060
91;7;;RUE;DE L EGALITE;94080
92;16;;RUE;DE LA FOSSE AUX BICHES;95252
93;57;;ALL;DU VEXIN;95388
94;9004;;RES;LES LIGNIERES;95607
95;9;;RUE;NEUVE;1262
96;27;;RUE;FERNAND THUILLART;2408
97;2;;RUE;DENAIN;3190
98;7052;;RES;LES CHENEVRIERS;4073
99;7102;;PL;DE L ENGIEN;4166
100;9002;;PL;DU DOCTEUR ROBERT;4209
101;15;;AV;NIQUET;6004
102;7;;CHE;DE SAINT LAURENT;6027
103;8;;RUE;ROSSINI;6088
104;27;;RUE;LAMARTINE;6088
105;4;;AV;VALROSE;6088
106;15;B;AV;VICTOR CAUVIN;6159
107;5;;IMP;DU CHANT DE L ALOUETTE;10323
108;5279;F;RUE;DU 14 JUILLET;13119
109;55;;RUE;FRANCIS DAVSO;13201
110;9;;RUE;BOSCARY;13204
111;9;;RUE;CRUDERE;13206
112;13;;BD;GUSTAVE GANAY;13209
113;4;;RUE;AUX NAMPS;14118
114;1;;RUE;PESTEL;14333
115;1;;AV;P CASSAGNAVERE;14715
116;1;;RUE;CHARLES KOECHLIN;14754
117;66;;AV;DENFERT ROCHEREAU;17300
118;6;;RUE;DES MENDRIES;17414
119;5;;RES;DE LA HAUTE RIVE;22113
120;33;;RUE;ANATOLE LE BRAZ;22168
121;16;H;BD;DE L ATLANTIQUE;22278
122;19;;AV;DAUMESNIL;24322
123;850;;CHE;DES GOUILLOTTES;25527
124;34;B;RUE;DU FAUBOURG ST JEAN;28085
125;22;;RUE;THEAULON;30003
126;145;;QUAI;DE BILINA;30007
127;80;;RUE;DES ANEMONES;30133
128;4;B;RUE;ARNAVIELLE;30189
129;3;;RUE;DAUMESNIL;32013
130;230;;BD;DE LA REPUBLIQUE;33005
131;52;;RUE;DU TONDU;33063
132;17;;RUE;DES HIRONDELLES;33075
133;17;;RUE;LAURENT FIGNON;33550
134;7;;AV;PASTEUR;34023
135;5;;RUE;HENRI HERTZ;37261
136;4;;ALL;DES ERABLES;37261
137;6;;RUE;DOYEN GOSSE;38169
138;4;;PL;BIR HAKEIM;38185
139;13;;AV;DE LA MUZELLE MT DE LANS;38253
140;176;;AV;GABRIELE  D ANNUNZIO;40046
141;49;;AV;VICTOR HUGO;40088
142;112;;AV;DU MARENSIN;40304
143;2;;CHE;DES GREFFIERS;42256
144;52;;BD;DE L EGALITE;44109
145;18;;RUE;BONNE GARDE;44190
146;1;;RUE;PAUL VERLAINE;44204
147;239;;FG;SAINT VINCENT;45234
148;13;;ALL;DES ERABLES;45286
149;74;;RTE;DE COUTANCES;50002
150;7;;IMP;DES CARMELITES;51454
151;21;;RUE;DES SOEURS MACARONS;54395
152;2;;RES;DE PORH MEN GUEN;56062
153;19;;AV;SIMONE;59368
154;42;Q;RUE;JEAN JAURES;59378
155;468;;RUE;HENRI DURRE;59491
156;2;;RUE;AMPERE;60159
157;59;C;RUE;DU GENERAL MANGIN;60159
158;35;;IMP;JEAN DE LA FONTAINE;60382
159;1;;AV;JACQUES CARTIER;60395
160;34;B;AV;DE LA GARE;60524
161;76;;PL;GRAND PLACE;62041
162;31;;RUE;HIPPOLYTE GOMOT;63300
163;6;;AV;DE LA GARE;69003
164;78;B;RUE;DES COLLONGES;69204
165;496;;RUE;ETIENNE POULET;69264
166;72;;RUE;SAINT PIERRE DE VAISE;69389
167;2;;PL;DE LA RHODIACETA;69389
168;24;;RUE;DE LA BANQUE;70550
169;22;;RUE;D ALSACE LORRAINE;70550
170;13;;RTE;DES MOULINS;74014
171;110;;RTE;DE LA SAUGE;74249
172;192;;RUE;SAINT DENIS;75102
173;24;;RUE;DE SAINTONGE;75103
174;8;;RUE;SAINT PAUL;75104
175;30;;RUE;DES BOULANGERS;75105
176;36;;RUE;DE BUCI;75106
177;7;;RUE;COGNACQ JAY;75107
178;38;;AV;CLAUDE VELLEFAUX;75110
179;7;;RUE;PLICHON;75111
180;33;;AV;PHILIPPE AUGUSTE;75111
181;38;B;RUE;TRAVERSIERE;75112
182;31;;RUE;DE L ABBE CARTON;75114
183;8;;RUE;MARMONTEL;75115
184;22;A;RUE;EMERIAU;75115
185;62;;RUE;LEGENDRE;75117
186;68;;RUE;MSTISLAV ROSTROPOVITCH;75117
187;76;;RUE;LEPIC;75118
188;21;B;RUE;DUHESME;75118
189;124;;RUE;DAMREMONT;75118
190;89;;RUE;DES POISSONNIERS;75118
191;28;;RUE;DE TORCY;75118
192;9;;RUE;HENRI CHEVREAU;75120
193;4;;RUE;MICHEL DUBOSC;76351
194;3;;RUE;HENRY LEMONNIER;76447
195;10;;RUE;ROBERT DE THORIGNY;76451
196;19;B;RUE;DU GENERAL DE GAULLE;77005
197;56;;RUE;REMY DUMONCEL;77014
198;4;;RUE;KONRAD ADENAUER;77058
199;17;;AV;DU GENERAL DE GAULLE;77058
200;13;Q;RUE;DE CHAMPAGNE;77059
201;2;E;SQ;DU PETIT MARGAT;77192
202;2;C;CHE;DU GAZON;77259
203;17;;RUE;LOUVIOT;77288
204;15;;RUE;DE VAUX;77288
205;2;B;RUE;DU TEMPLE;77379
206;113;;AV;DE POISSY;78005
207;8;;SQ;DES AUBADES;78372
208;9;;RES;DE LA SABOTTE;78372
209;1;;SQ;DU JURANCON;78383
210;3;;RUE;LOUIS PASTEUR;78550
211;9003;;CITE;LA GARENNE A BREFAUT;78621
212;16;;RUE;DE L OCCIDENT;78646
213;29;;RUE;DES LILAS;82096
214;71;;CHE;DE L ESCOURCHE;83009
215;271;;BD;DES GRAVIERS;83009
216;9500;;RES;LE ST VINCENT;83034
217;1;;AV;PIERRE DE COUBERTIN;83070
218;9733;;RES;LES TROIS TOURS 2;85035
219;5;;AV;DU LITTORAL;85127
220;3;;RUE;FIEF DES COUTS;85194
221;46;;RUE;DU BAS RUET;85262
222;38;;RUE;JULES FERRY;88372
223;1;;RUE;DE COLMAR;90010
224;24;;RUE;DE CRONSTADT;90010
225;43;;RUE;DES 3 CHENES;91114
226;10;;RES;LES BOIS DU CERF;91225
227;5;;RUE;MONTTESSUY;91326
228;4;;ALL;D'AUTRICHE;91377
229;50;B;RTE;D ORLEANS RN 20;91425
230;10;;ALL;DES ERABLES;91570
231;239;;AV;ROBERT LEUTHREAU;91589
232;4;;RUE;BERNARD JUGAULT;92004
233;26;;RUE;DES BOURGUIGNONS;92004
234;12;;RUE;DU R P CH GILBERT;92004
235;1;;RUE;CLAUDE MIVIERE;92009
236;6;;IMP;BELLEVUE;92012
237;197;;RUE;GALLIENI;92012
238;19;;ALL;ROBERT DOISNEAU;92012
239;11;;RUE;SAINT DENIS;92012
240;11;;RUE;FESSART;92012
241;36;;RUE;PAUL HENRY THILLOY;92014
242;1162;;AV;ROGER SALENGRO;92022
243;85;;AV;HENRI BARBUSSE;92023
244;273;;RUE;SAINT DENIS;92025
245;9;;RUE;PAUL BERT;92025
246;21;;RUE;VICTOR HUGO;92025
247;7;;RUE;DE LA SABLIERE;92026
248;1;;SQ;DES COLONNES;92048
249;6;;RUE;DE L'OUEST;92050
250;7;;RUE;DU GUE;92063
251;11;;RUE;DE LA BENARDE;92063
252;12;;SQ;RONSARD;92063
253;7;;RUE;LOUIS BLANC;92075
254;55;;RUE;DU MOUTIER;93001
255;77;;RUE;SADI CARNOT;93006
256;4;;RUE;ARTHUR RIMBAUD;93010
257;24;;RUE;KLEBER;93048
258;68;;RUE;DU COLONEL FABIEN;94016
259;18;;RUE;PAUL CARLE;94022
260;15;;RUE;DE TRUCY;94033
261;3;;ALL;MULATRESSE SOLITUDE;94041
262;4;;RUE;HALIFAX;94042
263;6;;RUE;ANQUETIL;94052
264;83;;AV;DU BAC;94068
265;16;;RUE;DU MOUTIER;94071
266;1;;RUE;PIERRE ET MARIE CURIE;94076
267;7;;ALL;DE DERRIERE LES JARDINS;94079
268;74;;RUE;DE LA JARRY;94080
269;27;;AV;PAUL DEROULEDE;94080
270;4;;RUE;DE LA BRIQUETERIE;95203
271;1;;RUE;DES CAPUCINES;95218
272;1;;RUE;DU PAPIER COUCHE;95218
273;20;;RUE;DES MARECHAUX;95500
274;76;;RUE;GEORGE SAND;95572
275;9003;;PL;DE L HORLOGE;4209
276;17;;RUE;DE VERDUN;14079
277;6412;;CHE;DE BOIS LURETTE;14754
278;10;;RUE;FERRI III;54395
279;29;;RTE;DE CUSIN;74256
280;5;;RUE;DU ROCHER;77014
281;12;;RUE;MARTIN BLEU DIEU;80021
282;7;;AV;DU DOCTEUR ROUANET;82112
283;9;;RUE;DE LA JUIVERIE;91223
284;1;;RUE;DE GEX;1160
285;140;;RUE;DE L'ABBE JOLIVET;1288
286;1;;RUE;DES MONGES;4070
287;3;;RUE;NOTRE-DAME;6029
288;56;;AV;DU TROIS SEPTEMBRE;6032
289;114;;AV;GASTON DE FONTMICHEL;6079
290;55;;AV;DE SOSPEL;6083
291;649;;PROM;DU SOLEIL;6083
292;17;;RUE;GOUNOD;6088
293;4;;BD;CIMIEZ;6088
294;;;;LES FEUILLATES;10325
295;17;D;RUE;DE LA COOPERATIVE;10343
296;146;;AV;GEN GALLIENI;10362
297;2;;RUE;NVE DE LA REPUBLIQUE;10362
298;1;;RES;GRUISSAN PORT;11170
299;156;;PL;DE LA BONANCE;11170
300;2;;RUE;DE LA BIBLIOTHEQUE;13005
301;26;;RUE;DOCT SEVERIN ICARD;13022
302;3;;RUE;ANTOINE PIRRODI;13028
303;432;;BD;DE LAVAUX;13028
304;200;;CHEM;DU COULET;13101
305;294;;BD;CHAVE;13205
306;62;;BD;BOMPARD;13207
307;2;;RUE;CAPITAINE DESSEMOND;13207
308;27;;RUE;ROCCA;13208
309;1;;RES;LE LANCIER;13209
310;68;;BD;MIREILLE LAUZE;13210
311;6;;AV;ROGER DELIENCOURT;14220
312;4;;AV;DE LA REPUBLIQUE;14754
313;15;;RUE;JEAN JACQUES ROUSSEAU;18033
314;5;;RUE;D ESPAGNAC;19031
315;8;;PL;DU GUESCLIN;22278
316;6113;;;SUVERA TORTA;2A362
317;5495;;CHE;NEUF;30106
318;163;;RUE;DE BRUNSWICK;30189
319;74;;IMP;DES LUPINS;30189
320;4;;RUE;DEMOISELLES DE GASCOGNE;31203
321;10;;BD;PIERRE CURIE;31555
322;7;;RUE;ARISTIDE DE SOUSA-MENDES;33039
323;422;;RTE;DE TOULOUSE;33039
324;51;;RUE;DE PESSAC;33063
325;12;;RUE;ANDRE LEROUX;33514
326;16;;AV;VIEILLE TOUR;33522
327;6;B;RTE;DE LA GARONNE;33533
328;24;;ALL;DE LA FLANERIE;34003
329;94;;RUE;FRANCOISE GIROUD;34079
330;8;;AV;GAL DE GAULLE;34157
331;;;RES;PORT VAUBAN;34301
332;2;B;AV;CHARLES LE GOFFIC;35210
333;2;;RUE;DUGUESCLIN;35238
334;7;;RUE;JEAN LURCAT;37261
335;42;;CRS;JEAN JAURES;38185
336;3;;AV;DE VALMY;38185
337;10;;RUE;ELISEE CHATIN;38185
338;5519;;RES;LES TERRASSES DE L ALPE I;38191
339;1;;RUE;FRANZ LISZT;38421
340;2;;RUE;SIMONE DE BEAUVOIR;38421
341;7;;PL;DE LA VICTOIRE;39526
342;11;;RUE;DES SERRES;40088
343;220;;CHE;DE LAREIGNE;40281
344;9;T;AV;DE LA GARE;40284
345;1;;ALL;HELENE ET JACQUES SOLOMON;40312
346;3;;PL;ALEXANDRE VIRO;40312
347;80;;RTE;DE L ETANG;40317
348;33;;RUE;DU TREYVE;42005
349;85;B;RUE;JOANNY AUGE;42187
350;12;;RUE;BERCHOUX;42187
351;10;;RUE;DES ECOLIERS;42187
352;115;;RUE;DU MOULIN A VENT PROLONGE;42332
353;33;;RUE;ST GILLES;43157
354;29;;RUE;CHARLES NUNGESSER;44035
355;2;;IMP;DE L HOTEL DIEU;44109
356;44;;BD;OCEANIDES;44132
357;5;;RUE;LOUISE MICHEL;44198
358;28;;RUE;GUSTAVE EIFFEL;45075
359;481;;AV;DU LOIRET;45232
360;13;;RUE;DE GAUCOURT;45234
361;28;;RUE;DE LA HAUTE CROIX;45284
362;63;;RUE;DU PRE PIGEON;49007
363;99;;RUE;DE LA MADELEINE;49007
364;1;;;LE CARRE DES TOILES;49099
365;72;;RUE;SAINT PIERRE;50147
366;2;;RUE;DES AUGUSTINS;51108
367;1;;PL;CARNOT;51230
368;17;;RUE;DU BOUCAU;54263
369;3;;IMP;DU RAIL;56023
370;324;;RUE;DE LA REPUBLIQUE;60342
371;2;B;RUE;DES CLIGNETTES;60513
372;1;;RUE;SAINT EXUPERY;62893
373;2;;ALL;DE LA GRAVIERE;64102
374;9;B;CHE;DU LOUP;69089
375;18;B;RUE;DU PERRON;69176
376;437;;RUE;DE THIZY;69264
377;14;;RUE;IMBERT COLOMES;69381
378;6;;RUE;ROUX SOIGNAT;69383
379;49;;RUE;EUGENE PONS;69384
380;15;;PL;EDOUARD DE LA BOUSSINIERE;72181
381;5669;H;;IMM ARCELLE 1;73257
382;448;;AV;DU MONT PACCARD;74236
383;116;;RUE;DE L AUTOMNE;74311
384;7;;RUE;NOTRE DAME DE NAZARETH;75103
385;67;;RUE;DE BRETAGNE;75103
386;22;;RUE;DU TEMPLE;75104
387;9;;RUE;LARREY;75105
388;1;;RUE;HUYSMANS;75106
389;62;;RUE;SAINT PLACIDE;75106
390;66;;RUE;DE RENNES;75106
391;45;;RUE;BONAPARTE;75106
392;27;;RUE;DES SAINTS PERES;75106
393;139;;RUE;DU FBG SAINT DENIS;75110
394;32;;RUE;DES PETITS HOTELS;75110
395;25;;PAS;DUBAIL;75110
396;13;;BD;DE LA VILLETTE;75110
397;6;;RUE;DE NEMOURS;75111
398;15;;BD;RICHARD LENOIR;75111
399;4;;RUE;MAILLARD;75111
400;9;;RUE;DES BOULETS;75111
401;11;;AV;DU BEL AIR;75112
402;16;;RUE;LACUEE;75112
403;120;;RUE;DU MOULIN DES PRES;75113
404;45;;RUE;BOULARD;75114
405;41;;RUE;JONQUOY;75114
406;12;;RUE;JONQUOY;75114
407;10;;RUE;FIRMIN GILLOT;75115
408;37;;RUE;FONDARY;75115
409;36;;AV;GEORGES MANDEL;75116
410;15;;RUE;DUFRENOY;75116
411;11;;RUE;DE L ARC DE TRIOMPHE;75117
412;132;;RUE;DE TOCQUEVILLE;75117
413;32;;RUE;LEGENDRE;75117
414;17;;RUE;DE CHEROY;75117
415;7;;RUE;NOLLET;75117
416;3;;RUE;BRIDAINE;75117
417;98;;RUE;NOLLET;75117
418;75;;RUE;DOUDEAUVILLE;75118
419;37;;RUE;DE LA PLAINE;75120
420;2;;SQ;BRUSSEAU;77061
421;24;;RUE;GRANDE;77079
422;1;;RUE;DE BOURGOGNE;77118
423;3;;PL;PAUL EMILE VICTOR;77284
424;120;;ALL;DE PLEIN CIEL;77285
425;41;;BD;DE L ALMONT;77288
426;38;;RUE;DE LA CHARBONNIERE;77307
427;5929;B;CITE;DES GUETTES;77419
428;17;;RUE;DE LA MARNE;77450
429;4;;;RES LA FONTAINE SAINT MARC;77487
430;2;;QUAI;DE L AMIRAL MOUCHEZ;78146
431;1;;AV;MONTAIGNE;78165
432;57;;AV;DE SAINT GERMAIN;78358
433;26;;ALL;CLAUDE MONET;78372
434;22;;RUE;DU GEN DE GAULLE;78382
435;2;;AV;P MARTIN LUTHER KING;78481
436;6;;AV;JEAN JAURES;78586
437;3;;RUE;REMONT;78646
438;23;;RUE;SAINT GERMAIN;80021
439;77;;RUE;DE MAYOCQ;80228
440;30;;RUE;DE LA COMEDIE;82121
441;183;;BD;DE PIERREPLANE;83009
442;22;;AV;DU PORT;83112
443;184;;AV;DU CARMEL;83137
444;57;;RUE;DU DOC PACCARD;84031
445;27;;BD;DE L'OCEAN;85164
446;22;;RUE;PIERRE LEROUX;87085
447;636;;;CITE DU DOCTEUR BARRIERE;87161
448;10;;RUE;MARIE MARVINGT;88160
449;15;;RUE;DES AULNES;88181
450;4;D;RUE;CAROLINE RIER;91086
451;2;;RUE;DES FRANCS BOURGEOIS;91156
452;38;;BD;DE FONTAINEBLEAU;91174
453;69;;AV;DES FAUVETTES;91326
454;34;;AV;FRANCOIS MOLE;92002
455;49;;AV;D ARGENTEUIL;92004
456;81;;RUE;DU BAC;92004
457;97;;RUE;DU CHATEAU;92004
458;21;;AV;DE LA REDOUTE;92004
459;10;;RUE;GEORGES GUYNEMER;92004
460;221;;AV;D ARGENTEUIL;92009
461;35;;RUE;RASPAIL;92009
462;867;;CRS;AQUITAINE;92012
463;56;;BD;DE LA REPUBLIQUE;92012
464;2;;RUE;DE L ANCIENNE MAIRIE;92012
465;35;;BD;D AUTEUIL;92012
466;10;;AV;ANATOLE FRANCE;92024
467;3;;RUE;DES ROSES;92032
468;13;;RUE;VILLEBOIS MAREUIL;92036
469;12;;RUE;DES ACACIAS;92040
470;136;;RUE;ARISTIDE BRIAND;92044
471;5;;RUE;BARBES;92044
472;15;;RUE;BANES;92048
473;17;T;RUE;SADI CARNOT;92050
474;20;;RUE;DE ZILINA;92050
475;7;;ALL;D ORLEANS;92051
476;11;;RUE;DU GAL H BERTIER;92051
477;119;;AV;EDOUARD HERRIOT;92060
478;8;;RUE;LUCIEN VOILIN;92062
479;115;;RUE;ESTIENNE D ORVES;92063
480;9;;RUE;CROIX BOSSET;92072
481;101;;RUE;DES CHENES;92073
482;23;;AV;DE LA REPUBLIQUE;93006
483;98;;AV;PASTEUR;93045
484;71;;RUE;DE ROMAINVILLE;93045
485;137;B;RUE;DE PARIS;93048
486;13;;RUE;DES ORMES;93048
487;4;;ALL;PAUL LANGEVIN;93072
488;8;;ALL;JOHANNES KEPLER;93073
489;20;;RUE;FELIX EBOUE;94002
490;49;;RUE;MARCEL BOURDARIAS;94002
491;9002;;RES;L ANGEVINE 2;94004
492;197;;RUE;DE PARIS;94018
493;25;;RUE;JULES VALLES;94022
494;1;;RUE;MARIN LA MESLEE;94028
495;18;;AV;JEAN JAURES;94037
496;8;;RUE;EMILE BLIN;94041
497;5;;RUE;GEORGES POMPIDOU;94043
498;9001;;;RES VERDUN LECLERC;94044
499;13;;PL;LOUIS ARAGON;94044
500;7;;RUE;DU MARECHAL VAILLANT;94052
501;49;;RUE;PAUL BERT;94052
502;39;;AV;DE BRETAGNE;94060
503;4;;RUE;RENARD;94060
504;26;;RUE;JEAN JAURES;94060
505;13;;AV;DES ARTS;94068
506;7;;RUE;ELSA TRIOLET;94074
507;25;;RUE;DE CROSNE;94078
508;33;;RUE;DE MONTREUIL;94080
509;16;;AV;DU GAL DE GAULLE;94080
510;;;RUE;PARMENTIER;95039
511;27;;RUE;ALBERT MEUNIER;95199
512;3;;ALL;CHARLES PEGUY;95219
513;1;;AV;FOCH;95306
514;;;;DERRIERE LES TOURNELLES;95527
515;39;;RUE;BUFFON;1033
516;151;;RTE;DE BELLEVILLE;1258
517;8;;RUE;DE GENEVE;1354
518;22;;RUE;DE LA FRATERNITE;3190
519;10;;RUE;SAINT ANTOINE;6004
520;4;;AV;CAMILLE BLANC;6012
521;4;;RUE;DE STALINGRAD;6029
522;59;;AV;DU MARECHAL JUIN;6029
523;12;;BD;DE LA REPUBLIQUE;6033
524;124;;PROM;VAL DU CAREI;6083
525;1;;AV;DE VERDUN;6083
526;5277;;;LE VILLAGE;6092
527;85;;RTE;DE VALS;7019
528;9004;;CITE;DE LA SOUBEYRANNE;7042
529;5638;;RES;HAMEAU LES FALAISES;7304
530;3;;RUE;JEAN JAURES;11262
531;159;;RES;HORIZON;11266
532;27;;AV;MARECHAL FOCH;13022
533;9012;;MAIL;LE MAIL;13119
534;57;;RUE;ADOLPHE THIERS;13201
535;44;;RUE;CURIOL;13201
536;46;;RUE;CHEVALIER PAUL;13202
537;13;;RUE;BERANGER;13204
538;77;;RUE;PAUTRIER;13204
539;16;;RUE;ROBERT;13207
540;89;;RUE;SAINT SEBASTIEN;13208
541;30;;RUE;DES MOUSSES;13208
542;14;;RUE;NEGRESKO;13208
543;9001;;CITE;LE CORBUSIER;13208
544;34;E;RUE;NICOLE ZEMMOUR;13209
545;296;;BD;ROMAIN ROLLAND;13209
546;25;;BD;BONIFAY;13210
547;46;;RUE;SAINTE BAUME;13210
548;49;;TSSE;DES BONNETS;13213
549;6412;;VC;RES LES MARINES;14754
550;48;;AV;EMILE ZOLA;19031
551;87;;RUE;DE GOUEDIC;22278
552;20;B;RUE;DE L ABREUVOIR;25265
553;15;;PAS;DU PALOMA;26058
554;28;;AV;DUCHESNE;26281
555;1;;RUE;DE LA LIBERATION;27299
556;6;;RUE;DES ECUYERS;28085
557;4;;RUE;CHAUVEAU LAGARDE;28085
558;106;;AV;DU GENERAL LECLERC;28134
559;14;;RUE;DE L ASPIC;30189
560;175;;CHE;DE LA DOUCE DAME;31066
561;72;B;AV;SALVADOR ALLENDE;31113
562;2;;RUE;DES LOIS;31555
563;10;;RUE;MONTESQUIEU;33051
564;16;;RUE;JULIE;33063
565;46;;RES;LE HAMEAU PIERRE FABRE;33081
566;20;;RUE;HIPPOLYTE GOURDON;33249
567;100;;AV;DE LA LIBERATION;33281
568;232;;RUE;DE SUZON;33522
569;9001;;RES;SARCIGNAN;33550
570;86;;AV;D INGRIL;34108
571;19;;RUE;ARAGO;34301
572;17;;BD;JOLIOT CURIE;34301
573;25;;RUE;GALPIN THIOU;37261
574;22;;CHE;JESUS;38185
575;77;B;CRS;JEAN JAURES;38185
576;5383;;;LA VILLE;38186
577;4;;CHE;DE L HERMITAGE;38229
578;25;;ALL;DE LA DENT DE CROLLES;38249
579;220;;ALL;DE PRE MAYEN;38249
580;315;;RUE;DU CLOS CAPPERONY;39470
581;93;;AV;CHARLES DE GAULLE;40133
582;30;;RUE;ANDRE BOUILLAR;40312
583;5;;RUE;OLIVIER DE SERRES;42218
584;3;;RUE;DE TERRENOIRE;42218
585;8;;RUE;MARCEAU;44109
586;38;;BD;OCEANIDES;44132
587;1;;RUE;DE L ARDECHE;44162
588;6;;RUE;JEAN PAUL SARTRE;44162
589;2;;RUE;DES PERVENCHES;45075
590;4;T;RUE;DUTHUARD;45258
591;11;;RUE;LOUIS GAIN;49007
592;48;;RUE;ST NICOLAS;49007
593;9;;AV;DE LA RICHARDIERE;49099
594;7;;MAIL;CLAUDE DEBUSSY;49347
595;43;;RUE;CHARLIER;51454
596;8;;RUE;RUE BERTRAND DE VOGUE;51454
597;11;;RUE;LUCRECE MERCIER;53062
598;10;;PL;DE L EGLISE;53073
599;3;B;RUE;DU COLOMBIER;59220
600;108;;RUE;SAINT ANDRE;59350
601;37;;RUE;JULES FERRY;59410
602;16;;RUE;D ALSACE;60057
603;150;;BD;DE LA MER;62604
604;;;RES;LES MARMOTTES;66004
605;34;;RTE;DE BORDEAUX;69078
606;2;;AV;RAYMOND DE VEYSSIERES;69081
607;15;;RUE;REY LORAS;69143
608;27;;RUE;DU PERRON;69149
609;26;;RUE;DIDEROT;69149
610;13;;RUE;BAUDIN;69149
611;30;;RUE;PALAIS GRILLET;69382
612;19;;QUAI;ROMAIN ROLLAND;69385
613;5168;;;IMM LE GRAND PIC;73235
614;5215;A;;TIGNY;73306
615;143;;IMP;DES VIGNES;74019
616;166;;AV;DE COURMAYEUR;74056
617;70;;BD;SAINT MICHEL;75106
618;34;;RUE;CLER;75107
619;10;;RUE;DE GRANGE BATELIERE;75109
620;41;;BD;DE LA VILLETTE;75110
621;59;;RUE;DE LA FONTAINE AU ROI;75111
622;79;;RUE;BRILLAT SAVARIN;75113
623;12;;BD;EXELMANS;75116
624;57;;RUE;PIXERECOURT;75120
